Code,Prov,Loc,EC,TA,TW,Q,Elv,SiO2,SiO4,Al,Fe,Ca,Mg,Na,K ,Li,NH3,Cl,SO4,HCO3,H2S,B,Al3+,As3+,NH4+,CO3-,F,Br,NO3,PO42-,H2S,pH
726,NTT,Tukapela (Boba-Soa),7300,0,47.7,0,0,0,0,0,0,174,51.5,74.6,30.8,0,0,403,2070,0,0,0,0,0,0.93,0,10.8,0.63,0.1,0,3.35,1.93
727,NTT,Liba,430,0,34.8,0,0,0,0,0,0,42.2,22.6,16.4,5.32,0,0,3.12,13.8,203,0,0,0,0,0.43,0,0.25,0,0,0,0,6.66
728,NTT,Paidane (Wae Wuta),460,0,43.4,0.002,0,0,0,0,0,43.4,16.8,28.1,7.11,0,0,4.61,24.9,192,0,0,0,0,0.53,0,2.02,0,1.02,0,0,6.87
729,NTT,Shokimatawae,340,0,35.4,0.014333333,0,0,0,0,0,32.9,13.6,19.3,4.03,0,0,3.69,8.84,155,0,0,0,0,0.49,0,0.22,0,0.78,0,0,6.81
730,NTT,Langagedha,1130,0,57,0.016666667,0,0,0,0,0,22.9,14.5,167,49.2,0,0,30.7,120,328,0,0,0,0,0,0,0.13,0.11,0.29,0,0,6.9
731,NTT,Mbey,18200,0,76.4,0,0,0,0,0,0,487,154,3610,102,0,0,6390,750,108,0,0,0,0,0,0,1.85,21.3,4.11,0,0,7.1
732,NTT,Stream in Matakico,240,0,26.2,0,0,0,0,0,0,241,9.02,11.2,3.08,0,0,3.35,6.14,101,0,0,0,0,0,0,0.24,0,0,0,0,7.06
733,NTT,Wae Ya (spring),230,0,24.2,0,0,0,0,0,0,24.3,9.08,10,2.72,0,0,3.03,4.35,100,0,0,0,0,0.65,0,0.38,0,3.76,0,0,6.5
734,NTT,Stream of Keli Tiworiwu,410,0,25.4,0,0,0,0,0,0,41.5,14.6,15.5,2.91,0,0,3.67,131,47.6,0,0,0,0,0.03,0,0.18,0,6.05,0,0,6.81
735,NTT,Wae Venu,196,0,27.8,0.000166667,0,0,0,0,0,20,5.28,12.8,2.24,0,0,9,19,59.8,0,0,0,0,0.41,0,0.12,0,1.4,0,0,7.06
736,NTT,Wae Roe,230,0,22.8,0.216666667,0,0,0,0,0,25.5,8.64,10.4,3.29,0,0,3.39,23,87.9,0,0,0,0,0,0,0.46,0,3.58,0,0,7.35
737,NTT,Wae Guru,600,0,25.3,0.001166667,0,0,0,0,0,73.1,20.7,20.3,4.94,0,0,4.04,191,94,0,0,0,0,0.89,0,0.39,0,0.81,0,0,6.01
738,NTT,Mutufoka,180,0,19.4,0.0045,0,0,0,0,0,19.8,7.16,8.98,2.48,0,0,3.08,10.3,67.8,0,0,0,0,0.12,0,0.38,0,2.55,0,0,6.7
739,NTT,Mutufoka,175,0,19.1,0.0045,0,0,0,0,0,13.9,6.92,7.7,3.37,0,0,2.63,9.33,71.5,0,0,0,0,0,0,0.38,0,2.96,0.06,0,6.7
740,NTT,Wae Woki,260,0,22.1,0.0001,0,0,0,0,0,29.8,10.4,10.7,1.69,0,0,4.1,1.61,118,0,0,0,0,0.24,0,0.22,0,2.81,0,0,6.66
741,NTT,Wae Lapo,270,0,28.1,0.015,0,0,0,0,0,28.7,9,14.8,1.5,0,0,7.15,5.94,123,0,0,0,0,0,0,0.25,0,2.58,0,0,7.16
742,NTT,Berewekw,240,0,27,0.083333333,0,0,0,0,0,25.4,9.48,12.2,2.59,0,0,4.17,6.6,106,0,0,0,0,0,0,0.15,0,2.08,0,0,6.95
743,NTT,Radabata (Wae Ba),290,0,20.8,0.00005,0,0,0,0,0,29.4,8.81,13.1,16.3,0,0,3.15,3.5,138,0,0,0,0,0.04,0,0.21,0,0,0,0,7.3
744,NTT,Nage (cold springs),250,0,23.5,1.67E-05,0,0,0,0,0,29.4,7.73,12.4,2.98,0,0,3.27,76.3,35.2,0,0,0,0,0,0,0.4,0,0.76,0,0,6.81
745,NTT,Wae Aru,270,0,23.3,0.001,0,0,0,0,0,23.8,3.12,16.2,2.46,0,0,4.37,91.1,24.7,0,0,0,0,0,0,0.15,0,0.23,0,0,6.93
746,NTT,Kalibatu,101,0,16,0.007,0,0,0,0,0,8.09,9.05,5.93,2.25,0,0,2.23,7.7,36.4,0,0,0,0,0.99,0,0.43,0,0.33,0,0,7.6
747,NTT,Mangulewa (Wae Roa),282,0,23.2,0.166666667,0,0,0,0,0,26.5,5.23,10.9,3.51,0,0,2.78,53.2,75.7,0,0,0,0,0,0,0.63,0,2.06,0.09,0,6.9
748,NTT,Aelade (Boawae),184,0,23.9,0.0045,0,0,0,0,0,14.9,16.5,11.3,2.52,0,0,4.13,8.98,65.9,0,0,0,0,0,0,0.24,0,4.96,0,0,6.7
749,NTT,Dowo Dambo (Naegaroro),428,0,30.2,0,0,0,0,0,0,39,13.3,25.5,2.44,0,0,7.48,8.46,206,0,0,0,0,0,0,0.16,0,1.68,0,0,7.1
750,NTT,Mata Bulu (Riung),583,0,29.8,0.003,0,0,0,0,0,34.8,13.3,13.7,1.95,0,0,8.13,13.1,151,0,0,0,0,0,0,0.23,0,1.24,0,0,7.1
751,NTT,Kali Dua (Airhere),330,0,27.2,0.004,0,0,0,0,0,27,15.3,21.1,3.34,0,0,5.32,7.14,157,0,0,0,0,0,0,0.51,0,2.4,0,0,7.3
752,NTT,Dbidhu (Enam Desa),337,0,28.5,0,0,0,0,0,0,28.8,10.6,18.4,3.6,0,0,10.9,58.7,81.8,0,0,0,0,0,0,0.48,0.02,2.1,0.47,0,7.9
753,NTT,Wugha Wugha Dua (Aesona),756,0,29.2,0,0,0,0,0,0,54.3,21.4,34.8,2.49,0,0,21.3,122,150,0,0,0,0,0,0,0.42,0.05,0.57,0,0,7.1
754,NTT,Inerie VO rainfall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
755,NTT,Eburobo VO rainfall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
756,NTT,Wai Sano Lake Water,2980,0,26.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.61
757,NTT,Wai Sano  1,6760,0,41.1,0,0,0,0,0,0,236,45.3,1050,89,2.27,0,2150,63.4,189,0,0,0,0,1.82,0,0.62,6.39,0.38,0,0,5.71
758,NTT,Wai Sano 2 (Bonok),51100,0,83.9,0,0,0,0,0,0,1990,165,9540,1260,22.7,0,20000,300,67.1,0,0,0,0,0,0,6.34,59.2,1.63,0,0,6.07
759,NTT,Wai Sano 3,12700,0,43.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22
760,NTT,Wai Sano 4,12320,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.18
761,NTT,Wai Pesi 1,16300,0,76.8,0,0,0,0,0,0,961,46.5,2320,113,0.29,0,5460,260,36.6,0,0,0,0,0,0,2.09,18.2,0.62,0,0,6.84
762,NTT,Wai Pesi 2,17400,0,89,0,0,0,0,0,0,1050,43.1,2470,120,0.31,0,5920,323,20.3,0,0,0,0,0,0,2.54,19.7,0.32,0,0,6.73
763,NTT,Oka-Lakantuka,10780,0,57.4,0,0,0,0,0,0,132,174,1980,179,0.35,0,3360,399,260,0,0,0,0,0,0,1.06,11.3,0.42,0,0,6.83
764,NTT,Karangora fumarole,0,0,98.6,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,
765,NTT,Karangora (Waiwejak),370,0,37.4,0,0,0,0,0,0,0,0,0,0,0,0,12.1,16.7,134,0,0,0,0,0,0,1.08,,24.7,0,0,7.98
766,NTT,Alor 1 (Bukapiting),9260,0,0,0,0,0,0,0,0,247,29.9,1570,76.1,0.94,0,2770,256,52.9,0,0,0,0,4.13,0,1.25,9.27,0.32,0,0,7.91
767,NTT,Alor 2 (Bukapiting),9390,0,0,0,0,0,0,0,0,256,27.9,1570,77.6,0.94,0,2760,256,61,0,0,0,0,3.2,0,1.4,9.25,0.23,0,0,7.5
768,NTT,Alor 3 (Bukapiting),9560,0,0,0,0,0,0,0,0,267,27.1,1620,78.9,1,0,2870,254,48.8,0,0,0,0,0,0,1.56,9.66,0.26,0,0,7.91
81,NTT,AAPG-1,8200,0,77.1,0,2,150.71,0,0,0.08,406.77,11.9,1112.88,76.92,0.3,0,2082.23,432.49,67.79,0,2.34,0,0.5,1.22,0,0,0,0,0,0,7.44
82,NTT,AAPG-2,11090,0,63.7,0,2,147.93,0,0,0.04,550.56,44.64,1446.74,103.85,0.38,0,3018.6,390,80.35,0,3.28,0,0.3,1.39,0,10,0,0,0,0,7.55
83,NTT,AAPG-3,13350,0,44.2,0,2,141.47,0,0,0.02,575.56,104.6,1800.48,130.77,0.34,0,3865.15,208.75,51.68,0,3.13,0,0.4,1.64,0,5,0,0,0,0,7.88
84,NTT,APAK,5490,0,38,0,0,79.19,0,0,0.01,188.45,87.2,822.5,48.8,0.05,0,3865.15,208.75,51.68,0,3.13,0,0.4,1.64,0,5,0,0,0,0,7.37
85,NTT,APMB,30500,0,42.9,0,0,106.75,0,0,0.01,634.38,437.47,4352.2,200.04,0.14,0,8349.5,1126.28,161.29,0,5.91,0,0.4,0.94,0,2,0,0,0,0,7.4
86,NTT,ADMT,218,0,31.7,0,1,76.18,0,0,0.1,25.64,7.27,20.42,3.21,0.01,0,5,5,151.93,0,0.06,0,0,0,0,1,0,0,0,0,7.43
87,NTT,APKR-1,6256,0,71.7,0,131,140,0,0,0.03,99.2,23.81,1120.65,86.54,1.6,0,1559.57,237.44,542.56,0,49.7,0,1.5,1.49,0,1,0,0,0,0,7.56
88,NTT,APKR-2,7270,0,71.7,0,131,148.5,0,0,0.05,121.2,27,1427,124.23,1.59,0,1997.4,267.48,613.02,0,54.85,0,1.9,1.49,0,0,0,0,0,0,7.5
89,NTT,APTR,515,0,37,0,6,99.39,0,0,0.02,50.54,4.11,50.54,4.62,0.03,0,17.44,2,303.05,0,0.16,0,0.6,1.37,0,1.5,0,0,0,0,7
810,NTT,APIR-1,7.77,0,3,0,3,1490,0,150.83,0,0.01,59.52,23.81,263.91,22.78,0,313.17,190.89,252.71,0,1.62,0,0.05,1,0,1.09,0,0,0,0,80.8
811,NTT,APIR-2,1330,0,73.6,0,3,148,0,0,0.02,44.32,15,245.39,19.31,0.01,0,243.39,180.18,200.73,0,1.06,0,0.75,1.16,0,2,0,0,0,0,7.52
812,NTT,APPM-1,2554,0,66.3,0,153,131.52,0,0,0.03,68.64,29.75,354.65,34.72,0.89,0,243.17,256.99,355.29,0,5.46,0,1,1.39,0,2.5,0,0,0,0,7.1
813,NTT,APPM-2,2580,0,68.4,0,155,132.76,0,0,0.02,88.4,35.71,358.96,34.72,0.91,0,397,299.09,379.06,0,5.76,0,1.1,1.39,0,1.5,0,0,0,0,6.83
814,NTT,ASIR,370,0,30,0,3,44.05,0,0,0.1,59.52,26.78,15.43,1.5,0.01,0,5,92.18,191.09,0,0.06,0,0,1.16,16.67,1,0,0,0,0,8.22
91,NTT,Teretere,0,0,0,0,0,0,0,0,0,37,0.16,0,0,26,0,3061,68,49,0,0,0,0,0,0,0,0,0,0,0,7.1
92,NTT,Tokaanu,0,0,0,0,0,0,0,0,0,29,1.19,0,0,19,0,2345,57,24,0,0,0,0,0,0,0,0,0,0,0,5.5
93,NTT,Tokaanu,0,0,0,0,0,0,0,0,0,16,1.22,0,0,8,0,1127,26,12,0,0,0,0,0,0,0,0,0,0,0,5.5
94,NTT,Paureni,0,0,0,0,0,0,0,0,0,34,0.13,0,0,25,0,2934,64,54,0,0,0,0,0,0,0,0,0,0,0,6.8
95,NTT,Paureni,0,0,0,0,0,0,0,0,0,36,0.21,0,0,23,0,2805,70,36,0,0,0,0,0,0,0,0,0,0,0,6.4
96,NTT,Paureni,0,0,0,0,0,0,0,0,0,31,0.52,0,0,17,0,2218,53,28,0,0,0,0,0,0,0,0,0,0,0,6.5
